date,city,PM_China,PM_US Post
2013-3-5,Beijing,141.0,150.0
2013-3-5,Beijing,149.33333333333334,163.0
2013-3-5,Beijing,147.33333333333334,172.0
2013-3-5,Beijing,118.0,181.0
2013-3-5,Beijing,113.66666666666667,187.0
2013-3-5,Beijing,173.33333333333334,204.0
2013-3-5,Beijing,193.66666666666666,218.0
2013-3-5,Beijing,207.66666666666666,222.0
2013-3-5,Beijing,205.0,208.0
2013-3-5,Beijing,195.33333333333334,225.0
2013-3-5,Beijing,209.33333333333334,235.0
2013-3-5,Beijing,231.66666666666666,263.0
2013-3-5,Beijing,242.0,274.0
2013-3-5,Beijing,246.0,275.0
2013-3-5,Beijing,241.66666666666666,302.0
2013-3-6,Beijing,237.66666666666666,225.0
2013-3-6,Beijing,195.66666666666666,220.0
2013-3-6,Beijing,183.0,207.0
2013-3-6,Beijing,173.33333333333334,202.0
2013-3-6,Beijing,164.33333333333334,200.0
2013-3-6,Beijing,169.0,206.0
2013-3-6,Beijing,181.66666666666666,202.0
2013-3-6,Beijing,182.66666666666666,203.0
2013-3-6,Beijing,188.33333333333334,196.0
2013-3-6,Beijing,155.66666666666666,188.0
2013-3-6,Beijing,176.66666666666666,187.0
2013-3-6,Beijing,178.33333333333334,204.0
2013-3-6,Beijing,194.0,233.0
2013-3-6,Beijing,220.0,259.0
2013-3-6,Beijing,238.66666666666666,267.0
2013-3-6,Beijing,244.0,246.0
2013-3-6,Beijing,241.0,247.0
2013-3-6,Beijing,238.33333333333334,257.0
2013-3-6,Beijing,241.0,257.0
2013-3-6,Beijing,244.0,257.0
2013-3-6,Beijing,240.66666666666666,249.0
2013-3-6,Beijing,239.33333333333334,245.0
2013-3-6,Beijing,239.33333333333334,242.0
2013-3-7,Beijing,237.0,239.0
2013-3-7,Beijing,241.33333333333334,240.0
2013-3-7,Beijing,248.33333333333334,238.0
2013-3-7,Beijing,252.0,338.0
2013-3-7,Beijing,295.6666666666667,334.0
2013-3-7,Beijing,303.6666666666667,344.0
2013-3-7,Beijing,311.6666666666667,351.0
2013-3-7,Beijing,311.3333333333333,331.0
2013-3-7,Beijing,304.6666666666667,327.0
2013-3-7,Beijing,277.3333333333333,306.0
2013-3-7,Beijing,266.3333333333333,289.0
2013-3-7,Beijing,309.0,363.0
2013-3-7,Beijing,359.6666666666667,306.0
2013-3-7,Beijing,320.0,293.0
2013-3-7,Beijing,313.3333333333333,279.0
2013-3-7,Beijing,239.0,230.0
2013-3-7,Beijing,192.33333333333334,201.0
2013-3-7,Beijing,193.66666666666666,200.0
2013-3-7,Beijing,179.0,294.0
2013-3-7,Beijing,230.0,510.0
2013-3-7,Beijing,423.3333333333333,516.0
2013-3-7,Beijing,492.6666666666667,469.0
2013-3-7,Beijing,491.6666666666667,450.0
2013-3-8,Beijing,440.6666666666667,397.0
2013-3-8,Beijing,388.0,365.0
2013-3-8,Beijing,347.0,364.0
2013-3-8,Beijing,325.3333333333333,357.0
2013-3-8,Beijing,312.0,357.0
2013-3-8,Beijing,254.0,350.0
2013-3-8,Beijing,211.33333333333334,337.0
2013-3-8,Beijing,204.66666666666666,323.0
2013-3-8,Beijing,303.3333333333333,306.0
2013-3-8,Beijing,168.33333333333334,139.0
2013-3-8,Beijing,110.0,95.0
2013-3-8,Beijing,188.66666666666666,189.0
2013-3-8,Beijing,300.3333333333333,410.0
2013-3-8,Beijing,152.66666666666666,145.0
2013-3-8,Beijing,97.66666666666667,99.0
2013-3-8,Beijing,73.33333333333333,87.0
2013-3-8,Beijing,88.66666666666667,93.0
2013-3-8,Beijing,81.0,95.0
2013-3-8,Beijing,71.33333333333333,101.0
2013-3-8,Beijing,80.33333333333333,97.0
2013-3-8,Beijing,70.66666666666667,89.0
2013-3-8,Beijing,61.666666666666664,87.0
2013-3-9,Beijing,72.33333333333333,105.0
2013-3-9,Beijing,79.66666666666667,114.0
2013-3-9,Beijing,88.0,119.0
2013-3-9,Beijing,98.0,129.0
2013-3-9,Beijing,113.33333333333333,122.0
2013-3-9,Beijing,110.0,122.0
2013-3-9,Beijing,107.0,124.0
2013-3-9,Beijing,116.66666666666667,136.0
2013-3-9,Beijing,141.0,141.0
2013-3-9,Beijing,71.0,33.0
2013-3-9,Beijing,62.666666666666664,42.0
2013-3-9,Beijing,49.0,32.0
2013-3-9,Beijing,47.0,40.0
2013-3-9,Beijing,37.666666666666664,32.0
2013-3-9,Beijing,21.333333333333332,19.0
2013-3-9,Beijing,16.0,16.0
2013-3-9,Beijing,15.0,13.0
2013-3-9,Beijing,11.666666666666666,16.0
2013-3-9,Beijing,12.0,12.0
2013-3-9,Beijing,11.666666666666666,10.0
2013-3-9,Beijing,10.666666666666666,18.0
